"";"n";"par";"B_100_np";"B_100_p";"B_500_np";"B_500_p";"B_700_np";"B_700_p"
"1";"100";"alpha";9174,99447605864;15111,3049122589;19366,1945244065;26676,2312035439;20091,1211325126;31274,5317197698
"2";"100";"phi_1";0,130549707779893;0,136715370443313;0,307820626614749;0,308020614057973;0,348107359830684;0,361703800421341
"3";"100";"phi_2";0,286929016208157;0,327216289081488;0,639442838338432;0,707538131468631;0,70778747910076;0,864945999503503
"4";"250";"alpha";2539,40176573607;2206,4637626972;5271,70012166118;5964,47667872092;6573,77843939013;8394,90438533214
"5";"250";"phi_1";0,051065968518985;0,064517089078698;0,106773128625372;0,129782187724308;0,136381916526128;0,153916968303102
"6";"250";"phi_2";0,098738890354445;0,106207505453699;0,208670786912948;0,236330472571697;0,257218519641793;0,274786594395818
"7";"400";"alpha";2735,96612934771;2678,16273957101;4584,41391171797;6203,76136716951;6999,91290526627;6392,6000721955
"8";"400";"phi_1";0,0386831208678563;0,0388943912076442;0,0875473882623795;0,0883068956167869;0,107409471344341;0,100051701176502
"9";"400";"phi_2";0,0853859787027017;0,0870685035806638;0,189024450742732;0,197472920654316;0,2425435505754;0,223580651861329
"10";"500";"alpha";1931,02736256701;913,408784614703;3294,9456573932;2666,09220778021;4889,94071856704;3252,89440426061
"11";"500";"phi_1";0,0353127809885756;0,0358040527335383;0,0729304860344332;0,0736088114369238;0,0930022314663144;0,0843989107599338
"12";"500";"phi_2";0,0740009088486268;0,0746028028114635;0,156422609612656;0,150639661408309;0,204446193558019;0,174467259665083
